Year,Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %
2014,40,Fury,"$217,780,241","$85,817,906",39.4%,"$126,000,000",57.9%
2014,41,Dracula Untold,"$217,124,280","$56,280,355",25.9%,"$160,843,925",74.1%
2014,42,The Expendables 3,"$214,657,577","$39,322,544",18.3%,"$175,335,033",81.7%
2014,43,Need for Speed,"$207,512,826","$43,577,636",21%,"$159,700,000",77%
2014,44,Unbroken,"$202,604,036","$115,637,895",57.1%,"$45,821,402",22.6%
2014,45,The Other Woman,"$196,710,396","$83,911,193",42.7%,"$112,799,203",57.3%
2014,46,The Equalizer,"$194,706,205","$101,530,738",52.1%,"$90,800,000",46.6%
2014,47,Breakup Buddies,"$189,017,596","$777,896",0.4%,"$188,239,700",99.6%
2014,48,Planes: Fire & Rescue,"$183,698,930","$59,165,787",32.2%,"$87,800,000",47.8%
2014,49,Stand by Me Doraemon,"$183,442,714",-,-,"$183,442,714",100%
2014,50,Serial Bad Weddings,"$176,404,493",-,-,"$176,404,493",100%
2014,51,The Monkey King: Havoc in Heaven's Palace,"$175,835,580",-,-,"$175,835,580",100%
2014,52,The Grand Budapest Hotel,"$174,761,412","$59,301,324",33.9%,"$113,635,617",65%
2014,53,Into the Storm,"$163,045,893","$47,602,194",29.2%,"$113,900,000",69.9%
2014,54,The Monuments Men,"$155,641,650","$78,031,620",50.1%,"$77,610,030",49.9%
2014,55,Ride Along,"$154,473,802","$134,938,200",87.4%,"$19,530,702",12.6%
2014,56,The Taking of Tiger Mountain,"$141,654,055","$228,984",0.2%,"$141,425,071",99.8%
2014,57,Horrible Bosses 2,"$140,936,263","$54,445,357",38.6%,"$53,200,000",37.7%
2014,58,The Admiral: Roaring Currents,"$138,342,258","$2,589,811",1.9%,"$135,752,447",98.1%
2014,59,Let's Be Cops,"$138,224,951","$82,390,774",59.6%,"$55,834,177",40.4%
2014,60,Jack Ryan: Shadow Recruit,"$136,879,232","$50,577,412",37%,"$84,926,336",62%
2014,61,Annie,"$136,853,506","$85,911,262",62.8%,"$50,942,244",37.2%
